#,Institution,Count, Faculty
162 ,Chalmers University ,1,1
162 ,Florida Institute of Technology ,1,1
162 ,Helsinki University ,1,1
162 ,Indiana State University ,1,2
162 ,Montana State University ,1,3
162 ,New Mexico Tech ,1,1
162 ,Nova Southeastern University ,1,1
162 ,OHSU ,1,3
162 ,Oakland University ,1,1
162 ,Southern Methodist University ,1,1
162 ,University of Arkansas - Little Rock ,1,1
162 ,University of Groningen ,1,2
162 ,University of Louisville ,1,2
162 ,University of Maine ,1,1
162 ,University of Missouri - Kansas City ,1,2
162 ,University of Nevada Las Vegas ,1,1
162 ,University of New Orleans ,1,1
162 ,University of Vermont ,1,3
162 ,Western Michigan University ,1,2
