program_code,program_name,sub-plan_code,sub-plan_name,complexity_score,total_degrees_awarded,less_than_4,four,four_and_a_half,five,five_and_a_half,six,greater_than_6
ARCHBARCH,Architecture,-,Not Available,77,117,0,0,1,71,80,103,14
GNSTBGS,General Studies,ECONIND,Economy and Industry,44,54,5,21,28,38,41,44,10
CHEMBS,Chemistry,-,Not Available,320,83,2,38,53,70,74,77,6
PHLBS,Public Health,-,Not Available,76,293,24,206,243,272,284,286,7
APSBAPS,Applied Science,HSV,Human Services,54,3,0,2,2,2,2,2,1
GLSBA,Global Studies,CLFA,"Cultures, Lit, Film & Arts",44,5,1,3,3,3,3,3,2
NCSBS,Neuroscience & Cognitive Sci,DEVAG,Development and Aging,96,32,2,30,32,32,32,32,0
BMEBSBME,Biomedical Engineering,-,Not Available,170,146,2,127,135,145,145,146,0
POLBA,Political Science,AMPOL,American Politics,47,54,12,39,44,51,52,52,2
GNSBGS,General Studies,GIU,Glbl & Intrcultral Understand,44,18,6,10,12,13,14,15,3
STDOBFA,Studio Art,2D,Two Dimensional,43,9,3,6,6,8,8,8,1
MUEDBMUS,Music Education,-,Not Available,117,32,1,21,28,30,32,32,0
GWSBA,Gender & Women's Studies,QTSS,"Queer, Trans&Sexuality Studies",42,2,0,1,1,1,1,1,1
MUSBA,Music,-,Not Available,102,22,1,14,16,20,20,22,0
ENVSBSES,Environmental Science,SAW,"Soil, Air, and Water",126,11,1,6,8,10,10,10,1
MATHBA,Mathematics,PROBSTAT,Probability and Statistics,156,5,2,3,3,4,4,5,0
PERFBMUS,Performance,TRUMPET,Trumpet,178,4,0,1,2,3,3,3,1
PERFBMUS,Performance,STRBASS,String Bass,178,2,0,1,1,2,2,2,0
SBEBSSBE,Sustainable Built Environments,SECO,Sustainable Landscapes,53,9,3,7,9,9,9,9,0
ASCBS,Animal Sciences,RTI,Race Track Industry,82,5,0,2,5,5,5,5,0
ENVSBSES,Environmental Science,BIOL,Biology,78,11,3,8,11,11,11,11,0
GNSTBGS,General Studies,SPSO,Sports and Society,48,26,1,15,18,21,23,25,1
EWREBS,Environ & Water Resource Econ,-,Not Available,83,15,1,11,13,14,14,15,0
SBEBSSBE,Sustainable Built Environments,SCH,Sustainable Communities,53,13,3,12,12,13,13,13,0
VSCBS,Veterinary Science,AAB,Applied Animal Behavior,56,5,1,4,4,4,4,4,1
POLBA,Political Science,COMPOL,Comparative Politics,39,9,3,9,9,9,9,9,0
PHSCBS,Pharmaceutical Sciences,-,Not Available,116,40,1,34,34,38,38,40,0
AREBSARE,Architectural Engineering,-,Not Available,136,11,0,7,10,11,11,11,0
ITALBA,Italian,ITALLAL,Language & Literature,116,3,0,2,2,3,3,3,0
NCSBS,Neuroscience & Cognitive Sci,CPT,Computation,93,3,0,3,3,3,3,3,0
NFSBS,Nutrition and Food Systems,-,Not Available,56,4,1,2,4,4,4,4,0
