Name,Term,Prerequisites,Corequisites,Credits,Passrate
ENGL 111G,1,,,4,
MATH 210G,1,,,3,
PHIL 201G,1,,,3,
UNIV 150,1,,,3,
Area IV,1,,,3,
COMM 265G,2,,,3,
Area III,2,,,4,
Area VI,2,,,3,
GE Elective,2,,,3,
Elective,2,,,3,
2nd Writing Course (Area I),3,ENGL 111G,,3,
PHIL Elective,3,,,3,
Area III or Area IV,3,,,4,
Elective,3,,,3,
Elective,3,,,3,
PHIL 320 or 373 or 376,4,,,3,
VWW,4,,,3,
Elective,4,,,3,
Elective,4,,,3,
Elective,4,,,3,
PHIL 211G or 312,5,,,3,
PHIL 315 or 316 or 346 or 350 or 351 or 380,5,,,3,
UD Elective,5,,,3,
UD Elective,5,,,3,
Elective,5,,,3,
VWW,6,,,3,
PHIL 315 or 316 or 346 or 350 or 351 or 380,6,,,3,
PHIL 341 or 344 or HON 227G,6,,,3,
UD Elective,6,,,3,
Elective,6,,,3,
PHIL 448,7,,,3,
PHIL Applied Ethics Elective,7,,,3,
UD Elective,7,,,3,
UD Elective,7,,,3,
PHIL Elective,7,,,3,
UD PHIL Elective,8,,,3,
UD PHIL Elective,8,,,3,
UD Elective,8,,,3,
UD Elective,8,,,3,
Elective,8,,,1,
