Name,Term,Prerequisites,Corequisites,Credits,Passrate
ENGL 111G,1,,,4,
MATH 191G,1,MATH 190G,,4,
Area IV,1,,,3,
C S 111,1,MATH 120,,4,
COMM 265G,2,,,3,
MATH 192G,2,MATH 191G,,4,
C S 172,2,"MATH 121G, C S 111",,4,
ENGL 218G,2,ENGL 111G,,3,
Area V,2,,,3,
Area VI,3,,,3,
Area III,3,,,4,
C S 271,3,C S 172,,4,
C S 272,3,C S 172,,4,
C S 171G,4,MATH 120,,4,
C S 273,4,C S 172,,4,
C S 278,4,C S 172,,4,
E E 200 or STAT 371 or STAT 470,4,MATH 192,,3,
C S 371,5,"C S 271, C S 272",,4,
VWW,5,,,3,
BCIS 482,5,BCIS 338,,3,
C S 479a,5,,,3,
C S 496,5,C S 372,,3,
VWW,6,,,3,
C S 478,6,"C S 272, C S 273",,3,
CJUS 412,6,,,3,
C S 479b,6,,,3,
Elective,6,,,3,
C S 474,7,"C S 273, C S 371, C S 372",,3,
C S 482,7,"C S 272, C S 278",,3,
C S 480,7,,,3,
E T 339,7,"E T 160, E T 255",,3,
Elective,7,,,3,
C S 448,8,"C S 370, C S 371",,4,
C S 380,8,C S 278,,3,
E E 458,8,E E 212,,3,
C S 484,8,"C S 272, C S 273",,3,
