Name,Term,Prerequisites,Corequisites,Credits,Passrate
CHME 101,1,,MATH 190G,2,
CHEM 115,1,MATH 121G,,4,
MATH 191G,1,MATH 190G,,4,
ENGL 111G,1,,,4,
Area VI,1,,,3,
CHME 102,2,"MATH 190G, CHME 101",CHEM 115,2,
CHEM 116,2,CHEM 115,,4,
MATH 192G,2,MATH 191G,,4,
PHYS 215G+L,2,MATH 191G,,4,
COMM 265G,2,,,3,
CHME 201,3,"CHME 102, CHEM 115, MATH 192G",,3,
CHEM 313,3,"CHEM 116, MATH 192G, PHYS 214",,3,
MATH 291G,3,MATH 192G,,3,
PHYS 216G+L,3,"PHYS 215G+L, MATH 192G",,4,
ENGL 218G,3,ENGL 111G,,3,
CHME 303,4,"CHME 201, MATH 291G",MATH 392,4,
CHME 305,4,"CHME 201, PHYS 215G+L, MATH 291G",MATH 392,3,
I E 311,4,MATH 192G,,3,
CHEM 314,4,CHEM 313,,3,
CHEM 315,4,CHEM 313,CHEM 314,2,
MATH 392,4,MATH 192G,,3,
CHME 306,5,"CHME 305, MATH 392",,4,
CHME 323L,5,I E 311,CHME 306,1,
CHME 361,5,"CHEM 111G, MATH 190G",,3,
CHME 392,5,MATH 392,,3,
CHEM 433,5,"CHEM 116, MATH 192G, PHYS 214",,3,
CHME 307,6,"CHME 303, CHME 306",,3,
CHME 324L,6,CHME 323L,,1,
CHME 352L,6,,"CHME 307, CHME 441",1,
CHME 441,6,"CHEM 313, CHME 303",CHME 307,3,
Area IV,6,,,3,
VWW,6,,,3,
CHME 412,7,CHME 441,,3,
CHME 423L,7,"CHME 307, CHME 324L, CHME 441",,1,
CHME 448,7,CHEM 115,,3,
CHME 452,7,"CHME 307, CHME 441",,3,
CHME 452L,7,,CHME 452,1,
CHME Elective,7,,,3,
CHME 424L,8,"CHME 412, CHME 423L",,1,
CHME 455,8,CHME 452,,3,
CHME 455L,8,"CHME 412, CHME 452L",CHME 455,1,
CHME Elective,8,,,3,
I E 365,8,I E 311,,3,
Area V,8,,,3,
