Name,Term,Prerequisites,Corequisites,Credits,Passrate
MATH 191G,1,MATH 190G,,4,
ENGR 100G,1,,MATH 121G,3,
CHEM 111G,1,MATH 120,,4,
ENGL 111G,1,,,4,
MATH 192G,2,MATH 191G,,4,
PHYS 215G+L,2,MATH 191G,,4,
ENGR 110,2,,,3,
2nd Writing Course (Area I),2,ENGL 111G,,3,
Area IV,2,,,3,
MATH 291G,3,MATH 192G,,3,
ENGR 233,3,MATH 192G,PHYS 215G+L,3,
PHYS 216G+L,3,"PHYS 215G+L, MATH 192G",,3,
M E 210,3,MATH 192G,,3,
M E 222,3,M E 159,,3,
M E 228,4,MATH 291G,,3,
ENGR 234,4,ENGR 233,MATH 291G,3,
M E 261,4,MATH 192G,,3,
M E 240,4,"PHYS 215G+L, MATH 192G",,3,
COMM 265G,4,,,3,
M E 328,5,M E 228,,3,
M E 338,5,"M E 228, M E 237",,3,
C E 301,5,ENGR 233,,3,
M E 340,5,M E 240,,3,
CHME 361,5,"CHEM 111G, MATH 190G",,3,
M E 349,5,,,1,
M E 326,6,"M E 237, C E 301",,3,
M E Mechanics Elective,6,M E 328,,3,
M E 345,6,"M E 210, M E 228, M E 237",C E 301,3,
M E 341,6,"M E 240, M E 338, M E 228",,3,
Area V,6,,,3,
ENGR 401,7,,,3,
M E 425,7,M E 326,,3,
M E 445,7,"M E 338, M E 340, M E 341, M E 345",,3,
Area VI,7,,,3,
VWW,7,,,3,
ENGR 402,8,ENGR 401,,3,
M E Senior Elective,8,,,3,
M E Senior Elective,8,,,3,
VWW,8,,,3,
