SendInstitution,SendInstitutionCity,SendInstitutionState,SendInstitutionCountry,SendInstitutionOPEID,SendEditionLowYear,SendEditionHighYear,SendCourse1CourseCode,SendCourse1CourseTitle,SendCourse1Units,SendCourse2CourseCode,SendCourse2CourseTitle,SendCourse2Units,SendCourse3CourseCode,SendCourse3CourseTitle,SendCourse3Units,SendCourse4CourseCode,SendCourse4CourseTitle,SendCourse4Units,SendCourse5CourseCode,SendCourse5CourseTitle,SendCourse5Units,SendCourse6CourseCode,SendCourse6CourseTitle,SendCourse6Units,SendCourse7CourseCode,SendCourse7CourseTitle,SendCourse7Units,SendCourse8CourseCode,SendCourse8CourseTitle,SendCourse8Units,SendCourse9CourseCode,SendCourse9CourseTitle,SendCourse9Units,SendCourse10CourseCode,SendCourse10CourseTitle,SendCourse10Units,ReceiveInstitution,ReceiveEditionLowYear,ReceiveEditionHighYear,ReceiveCourse1CourseCode,ReceiveCourse1CourseTitle,ReceiveCourse1Units,ReceiveCourse2CourseCode,ReceiveCourse2CourseTitle,ReceiveCourse2Units,ReceiveCourse3CourseCode,ReceiveCourse3CourseTitle,ReceiveCourse3Units,ReceiveCourse4CourseCode,ReceiveCourse4CourseTitle,ReceiveCourse4Units,ReceiveCourse5CourseCode,ReceiveCourse5CourseTitle,ReceiveCourse5Units,ReceiveCourse6CourseCode,ReceiveCourse6CourseTitle,ReceiveCourse6Units,ReceiveCourse7CourseCode,ReceiveCourse7CourseTitle,ReceiveCourse7Units,ReceiveCourse8CourseCode,ReceiveCourse8CourseTitle,ReceiveCourse8Units,ReceiveCourse9CourseCode,ReceiveCourse9CourseTitle,ReceiveCourse9Units,ReceiveCourse10CourseCode,ReceiveCourse10CourseTitle,ReceiveCourse10Units,ActiveDateBegin,ActiveDateEnd,ContactName,EQCreateDateTime,EQLEditDateTime,HideFlag,CommentsPublic,CommentsPrivate
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,IEC 101,Orientation to Early Childhood Education,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,CDF X100,CHILD AND FAMILY ELECTIVE-NO DIRECT EKU EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/12/22,,On-Campus *Jason Webster,9/12/22 8:10,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,IEC 102,Foundations of Early Childhood Education,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,CDF X100,CHILD AND FAMILY ELECTIVE-NO DIRECT EKU EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/12/22,,On-Campus *Jason Webster,9/13/22 5:19,9/13/22 5:20,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,IEC 130,Early Childhood Development,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,CDF 235,Child Development: Conception- Eight Years,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/12/22,,On-Campus *Jason Webster,9/12/22 8:17,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,IEC 170,Observation and Assessment,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,CDF 310,Observation and Assessment in ECE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/15/22,,On-Campus *Jason Webster,9/15/22 6:42,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,IEC 180,Approaches to Early Childhood Education Curriculum,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,CDF X100,CHILD AND FAMILY ELECTIVE-NO DIRECT EKU EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/12/22,,On-Campus *Jason Webster,9/13/22 6:52,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,IEC 180,Approaches to Early Childhood Education Curriculum,3,IEC 221,Creative Expressions in IECE,3,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,CDF 246,Creative Activities and Materials for Young Children,3,CDF X2003,Departmental Elective Credit,3,,,,,,,,,,,,,,,,,,,,,,,,,9/12/22,,On-Campus *Jason Webster,9/12/22 8:14,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,IEC 200,Child Guidance,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,CDF 236,Interaction and Guidance,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/12/22,,On-Campus *Jason Webster,9/12/22 8:18,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,IEC 210,Families and Communities in Early Childhood Education,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,CDF 327S,Family Involvement with Young Children,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/21/22,,On-Campus *Jason Webster,9/21/22 11:26,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,IEC 216,Literacy and Language in IECE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,CDF 363,Early Childhood Literacy,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/15/22,,On-Campus *Jason Webster,9/15/22 6:45,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,IEC 221,Creative Expressions in IECE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,CDF X200,CHILD AND FAMILY ELECTIVE-NO DIRECT EKU EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/12/22,,On-Campus *Jason Webster,9/13/22 6:52,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,IEC 230,Business Administration of ECE Programs,3,IEC 240,Administration of Early Childhood Education,3,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,CDF 547,Organization and Administration of Early Childhood Programs,3,CDF X5003,Departmental Elective Credit,3,,,,,,,,,,,,,,,,,,,,,,,,,9/15/22,,On-Campus *Jason Webster,9/15/22 6:51,9/15/22 6:59,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,IEC 230,Business Administration of ECE Programs,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,CDF X200,CHILD AND FAMILY ELECTIVE-NO DIRECT EKU EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/15/22,,On-Campus *Jason Webster,9/15/22 7:11,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,IEC 235,Introduction to Inclusive Education,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,SED 104,Special Education Introduction,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/15/22,,On-Campus *Jason Webster,9/15/22 6:54,,No,EKU Diversity,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,IEC 240,Administration of Early Childhood Education,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,CDF X200,CHILD AND FAMILY ELECTIVE-NO DIRECT EKU EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/15/22,,On-Campus *Jason Webster,9/15/22 7:06,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,IEC 246,Sciences and Math in IECE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,CDF X200,CHILD AND FAMILY ELECTIVE-NO DIRECT EKU EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/12/22,,On-Campus *Jason Webster,9/12/22 8:21,9/21/22 11:36,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,IEC 250,School Age Child Care,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,CDF 210,Special Topics in Early Childhood Education: _____,3-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/15/22,,On-Campus *Jason Webster,9/15/22 7:14,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,IEC 260,Infant and Toddler Education and Programming,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,CDF 405,Program Planning for Infants and Toddlers,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/15/22,,On-Campus *Jason Webster,9/15/22 7:18,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,IEC 291,IECE Practicum/Cooperative Education,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,CDF 399,Early Childhood Practicum,6-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/12/22,,On-Campus *Jason Webster,9/12/22 8:22,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,IET 1206,Hand and Power Tools,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,AEM X100,APPLIED ENGINEERING MANAGEMENT ELECTIVE-NO DIRECT EKU EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/22,,On-Campus *Jason Webster,6/1/22 8:13,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,IMT 1385,Maintenance Reliability,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,AEM X100,APPLIED ENGINEERING MANAGEMENT ELECTIVE-NO DIRECT EKU EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/27/22,,On-Campus *Jason Webster,4/27/22 6:02,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,ISM 102,Fundamentals of Instrumentation,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,AEM X200,APPLIED ENGINEERING MANAGEMENT ELECTIVE-NO DIRECT EKU EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/22,,On-Campus *Jason Webster,6/1/22 8:14,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,ISM 210,Fundamentals of Process Control,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,AEM X200,APPLIED ENGINEERING MANAGEMENT ELECTIVE-NO DIRECT EKU EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/22,,On-Campus *Jason Webster,6/1/22 8:14,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,LAS 201U,Introduction to Latin America,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,FCC 226,Hispanic Culture and Civilization,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/7/22,,On-Campus *Jason Webster,12/7/22 6:48,,No,EKU Humanities,Same course description as LAS 201; same equivalency applied.
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,LOM 210,Lean for Logistics,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,MGT X200,MANAGEMENT ELECTIVE-NO DIRECT EKU EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/5/22,,On-Campus *Jason Webster,1/5/22 7:14,1/5/22 7:14,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,MAT 126,Technical Algebra and Trigonometry,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,MAT 114,College Algebra,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/27/22,,On-Campus *Jason Webster,4/27/22 11:10,,No,GE Quantitative Reasoning //  <b>KCTCSs MAT 126 (Technical Algebra and Trigonometry) is equivalent to either MAT 114 (College Algebra) or MAT 112 (Algebra and Applications).</b>,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,MAT 126,Technical Algebra and Trigonometry,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,MAT 112,Algebra and Applications,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/27/22,,On-Campus *Jason Webster,4/27/22 11:10,,No,GE Quantitative Reasoning //  <b>KCTCSs MAT 126 (Technical Algebra and Trigonometry) is equivalent to either MAT 114 (College Algebra) or MAT 112 (Algebra and Applications).</b>,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,MAT 126S,Corequisite Remediation for Technical Algebra and Trigonometry,2-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2020,2021,MAT 112AP,Quantitative Support for MAT 112A,0.5,MAT 112BP,Quantitative Support for MAT 112B,0.5,,,,,,,,,,,,,,,,,,,,,,,,,10/25/21,,Zac Lewis,10/25/21 12:45,10/25/21 12:45,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,MAT 151,Introduction to Applied Statistics,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,SOC 232,Social Statistics,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/11/22,,On-Campus *Jason Webster,2/11/22 12:42,2/11/22 12:42,No,GE: Quantitative Reasoning,(02/11/2022)Approved by Dr. Abbey Poffenberger. GEQR: MAT/STA 151 is applicable towards this institution's Quantitative Reasoning area.
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,MAT 206,Mathematics For Elementary and Middle School Teachers II,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2020,2021,MAE 302,Mathematical Concepts for P-9 III,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/27/21,,Zac Lewis,10/27/21 12:05,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,MFG 135,Fundamentals of Mechatronics,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,AEM X200,APPLIED ENGINEERING MANAGEMENT ELECTIVE-NO DIRECT EKU EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/22,,On-Campus *Jason Webster,6/1/22 8:15,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,MFG 175,Lean Operations,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,AEM X200,APPLIED ENGINEERING MANAGEMENT ELECTIVE-NO DIRECT EKU EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/22,,On-Campus *Jason Webster,6/1/22 8:15,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,MFG 256,Production Management,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,AEM X300,APPLIED ENGINEERING MANAGEMENT ELECTIVE-NO DIRECT EKU EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/22,,On-Campus *Jason Webster,6/1/22 8:16,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,MFG 295,Manufacturing Engineering Technology Capstone,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,AEM X200,APPLIED ENGINEERING MANAGEMENT ELECTIVE-NO DIRECT EKU EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/22,,On-Campus *Jason Webster,6/1/22 8:17,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,MGT 160,Introduction to Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 101,Nature of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Fatima Almousa,3/7/22 6:27,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,MGT 160,Introduction to Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 101,Nature of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Fatima Almousa,3/7/22 8:03,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,MGT 160,Introduction to Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 101,Nature of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Fatima Almousa,3/1/22 8:15,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,MGT 160,Introduction to Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 101,Nature of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Fatima Almousa,3/8/22 6:31,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,MGT 160,Introduction to Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 101,Nature of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Fatima Almousa,3/8/22 6:08,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,MGT 160,Introduction to Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 101,Nature of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Fatima Almousa,3/8/22 5:56,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,MGT 160,Introduction to Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 101,Nature of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Fatima Almousa,3/21/22 6:06,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,MGT 160,Introduction to Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 101,Nature of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Fatima Almousa,3/23/22 6:27,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,MGT 160,Introduction to Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 101,Nature of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Fatima Almousa,3/23/22 6:42,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,MGT 160,Introduction to Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 101,Nature of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Fatima Almousa,3/22/22 6:40,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,MGT 160,Introduction to Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 101,Nature of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Fatima Almousa,3/9/22 6:08,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,MGT 160,Introduction to Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 101,Nature of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Fatima Almousa,3/9/22 5:42,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,MGT 160,Introduction to Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 101,Nature of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Fatima Almousa,3/1/22 8:23,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,MGT 160,Introduction to Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 101,Nature of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Fatima Almousa,3/1/22 7:01,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,MGT 160,Introduction to Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 101,Nature of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Fatima Almousa,3/21/22 6:35,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,MGT 160,Introduction to Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 101,Nature of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Fatima Almousa,3/24/22 7:59,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,MGT 240,Business Ethics and Self Management,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 204,Legal and Ethical Environments of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Nathan Napier,3/11/22 13:19,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,MGT 240,Business Ethics and Self Management,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 204,Legal and Ethical Environments of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Nathan Napier,3/10/22 11:42,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,MGT 240,Business Ethics and Self Management,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 204,Legal and Ethical Environments of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Nathan Napier,3/8/22 10:41,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,MGT 240,Business Ethics and Self Management,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 204,Legal and Ethical Environments of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Nathan Napier,3/10/22 12:58,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,MGT 240,Business Ethics and Self Management,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 204,Legal and Ethical Environments of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Nathan Napier,3/10/22 13:13,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,MGT 240,Business Ethics and Self Management,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 204,Legal and Ethical Environments of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Nathan Napier,3/10/22 9:15,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,MGT 240,Business Ethics and Self Management,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 204,Legal and Ethical Environments of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Nathan Napier,3/10/22 9:02,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,MGT 240,Business Ethics and Self Management,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 204,Legal and Ethical Environments of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Nathan Napier,3/3/22 12:04,,No,,
