SendInstitution,SendInstitutionCity,SendInstitutionState,SendInstitutionCountry,SendInstitutionOPEID,SendEditionLowYear,SendEditionHighYear,SendCourse1CourseCode,SendCourse1CourseTitle,SendCourse1Units,SendCourse2CourseCode,SendCourse2CourseTitle,SendCourse2Units,SendCourse3CourseCode,SendCourse3CourseTitle,SendCourse3Units,SendCourse4CourseCode,SendCourse4CourseTitle,SendCourse4Units,SendCourse5CourseCode,SendCourse5CourseTitle,SendCourse5Units,SendCourse6CourseCode,SendCourse6CourseTitle,SendCourse6Units,SendCourse7CourseCode,SendCourse7CourseTitle,SendCourse7Units,SendCourse8CourseCode,SendCourse8CourseTitle,SendCourse8Units,SendCourse9CourseCode,SendCourse9CourseTitle,SendCourse9Units,SendCourse10CourseCode,SendCourse10CourseTitle,SendCourse10Units,ReceiveInstitution,ReceiveEditionLowYear,ReceiveEditionHighYear,ReceiveCourse1CourseCode,ReceiveCourse1CourseTitle,ReceiveCourse1Units,ReceiveCourse2CourseCode,ReceiveCourse2CourseTitle,ReceiveCourse2Units,ReceiveCourse3CourseCode,ReceiveCourse3CourseTitle,ReceiveCourse3Units,ReceiveCourse4CourseCode,ReceiveCourse4CourseTitle,ReceiveCourse4Units,ReceiveCourse5CourseCode,ReceiveCourse5CourseTitle,ReceiveCourse5Units,ReceiveCourse6CourseCode,ReceiveCourse6CourseTitle,ReceiveCourse6Units,ReceiveCourse7CourseCode,ReceiveCourse7CourseTitle,ReceiveCourse7Units,ReceiveCourse8CourseCode,ReceiveCourse8CourseTitle,ReceiveCourse8Units,ReceiveCourse9CourseCode,ReceiveCourse9CourseTitle,ReceiveCourse9Units,ReceiveCourse10CourseCode,ReceiveCourse10CourseTitle,ReceiveCourse10Units,ActiveDateBegin,ActiveDateEnd,ContactName,EQCreateDateTime,EQLEditDateTime,HideFlag,CommentsPublic,CommentsPrivate
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2022,2023,PLB 160,"Plumbing Systems, DWV & Water",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2022,2023,EKU X100,UNIVERSITY PROGRAMS ELECTIVE-NO DIRECT EKU EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,,eCampus *Lauren Edmondson,1/19/23 13:35,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2022,2023,STA 210,Statistics: A Force in Human Judgement,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,STA X200,STATISTICS ELECTIVE-NO DIRECT EKU EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/21,,On-Campus *Jason Webster,11/7/22 10:18,,No,EKU Quantitative Reasoning<br> <u>Thru Su16</u><br> STA 210 = STA X200<br> <u>Fa16 - Su21</u><br> STA 210 = STA X200<br> (Petition for STA 215)<br> <b><u>Fa21  Current</u><br> STA 210 = STA X200</b><br> <u>Fa21  Current</u><br> STA 210U = STA 215,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2022,2023,SWK 222,Development of Social Welfare,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,SWK X100,SOCIAL WORK ELECTIVE-NO DIRECT EKU EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/24/22,,On-Campus *Jason Webster,10/24/22 11:29,,No,,EKU Social Work Dept request change.
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,ACH 250,Construction Documents IV,3,ACH 294,Specification Writing,3,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2020,2021,CON 325,Construction Estimating,4,CON X3002,Departmental Elective Credit,2,,,,,,,,,,,,,,,,,,,,,,,,,11/22/21,,Zac Lewis,11/22/21 12:25,11/30/22 11:10,No,,Banner Group: Z1
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,AGR 245,Pest Management,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,AGR 304,Pest Management,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/3/22,,On-Campus (Support) Liz Cooley,8/3/22 8:38,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,ANT 160,Cultural Diversity in the Modern World,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2020,2021,EDC 106,Culturally Responsive Perspectives,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/21,,Zac Lewis,9/27/21 7:35,,No,GE Social Science,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,ASL 102U,American Sign Language II,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2022,2023,ASL X100,AMERICAN SIGN LANGUAGE ELECTIVE-NO DIRECT EKU EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/7/22,,On-Campus *Jason Webster,9/7/22 12:13,1/24/23 4:25,No,EKU Diversity,Updated EQ to match ASL 102 equivalency value of ASL X100.
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,ASL 201U,American Sign Language III,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2022,2023,ASL X200,AMERICAN SIGN LANGUAGE ELECTIVE-NO DIRECT EKU EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/7/22,,On-Campus *Jason Webster,9/7/22 12:14,1/24/23 4:28,No,EKU Diversity,Updated EQ to match ASL 201 equivalency value of ASL X200.
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,BAS 110,Worksheets in Business Applications,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,CIS X100,COMPUTER INFORMATION SYSTEMS ELECTIVE-NO DIRECT EKU EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,,eCampus *Lauren Edmondson,2/14/22 14:22,2/14/22 14:22,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2021,2022,BAS 160,Introduction to Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 101,Nature of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Fatima Almousa,3/23/22 6:25,,No,,
